"name","word","count"
"#clus","#clus",12,
"digital","digital",10,
"retail","retail",8,
"will","will",6,
"experience","experience",6,
"#retail","#retail",5,
"booth","booth",5,
"us","us",5,
"#nrf17","#nrf17",5,
"experiences","experiences",4,
"world","world",4,
"business","business",4,
"transformation","transformation",4,
"customer","customer",4,
"network","network",3,
"#iot","#iot",3,
"#digitaltransformation","#digitaltransformation",3,
"join","join",2,
"forward","forward",2,
"foundation","foundation",2,
"future","future",2,
"game","game",2,
"home","home",2,
"innovation","innovation",2,
"instore","instore",2,
"internet","internet",2,
"#ciscodna","#ciscodna",2,
"#ciscoretail","#ciscoretail",2,
"ciscos","ciscos",2,
"connected","connected",2,
"#neverbetter","#neverbetter",2,
"online","online",2,
"opportunities","opportunities",2,
"proud","proud",2,
"technologies","technologies",2,
"things","things",2,
"#cx","#cx",2,
"transform","transform",2,
"disruption","disruption",2,
"transforming","transforming",2,
"vegas","vegas",2,
"#cybersecurity","#cybersecurity",2,
"cio","cio",1,
"cios","cios",1,
"cisco","cisco",1,
"#ciscochat","#ciscochat",1,
"cto","cto",1,
"#ciscoconnectedstadium","#ciscoconnectedstadium",1,
"customers","customers",1,
"david","david",1,
"#futureofretail","#futureofretail",1,
"denise","denise",1,
"devices","devices",1,
"devnet","devnet",1,
"#infographic","#infographic",1,
"digitally","digitally",1,
"discussing","discussing",1,
"disrupt","disrupt",1,
"#internationalprogrammersday","#internationalprogrammersday",1,
