"name","word","count"
"#dubnation","#dubnation",4399,
"warriors","warriors",1942,
"game","game",1588,
"#strengthinnumbers","#strengthinnumbers",1405,
"#warriors","#warriors",913,
"curry","curry",905,
"#goldenstatewarriors","#goldenstatewarriors",896,
"go","go",735,
"back","back",560,
"golden","golden",557,
"state","state",525,
"win","win",498,
"blazers","blazers",498,
"#gswarriors","#gswarriors",496,
"mvp","mvp",438,
"#nbaontnt","#nbaontnt",424,
"#gsw","#gsw",421,
"stephen","stephen",416,
"get","get",394,
"team","team",384,
"steph","steph",379,
"nba","nba",351,
"#warriorsground","#warriorsground",345,
"dubs","dubs",343,
"klay","klay",318,
"portland","portland",316,
"play","play",314,
"like","like",314,
"draymond","draymond",303,
"good","good",280,
"great","great",280,
"now","now",279,
"will","will",279,
"#letsgowarriorslive","#letsgowarriorslive",276,
"tonight","tonight",273,
"#nbaplayoffs","#nbaplayoffs",271,
"#stephcurry","#stephcurry",271,
"time","time",250,
"kerr","kerr",244,
"got","got",242,
"vs","vs",232,
"one","one",226,
"quarter","quarter",221,
"come","come",217,
"comeback","comeback",212,
"green","green",208,
"4th","4th",199,
"still","still",196,
"love","love",195,
"best","best",186,
"going","going",177,
"series","series",175,
"defense","defense",169,
"trail","trail",168,
"last","last",164,
"lead","lead",161,
"take","take",159,
"congrats","congrats",158,
"right","right",156,
"way","way",156,
"see","see",153,
"need","need",151,
"man","man",142,
"season","season",142,
"lillard","lillard",136,
"night","night",136,
"without","without",133,
"basketball","basketball",132,
"festus","festus",131,
"make","make",129,
"video","video",127,
"steve","steve",125,
"day","day",121,
"sports","sports",120,
"watch","watch",120,
"wins","wins",118,
"player","player",117,
"ezeli","ezeli",116,
"news","news",116,
"w","w",116,
"never","never",115,
"spurs","spurs",115,
"home","home",115,
"playing","playing",115,
"thompson","thompson",113,
"playoffs","playoffs",113,
"today","today",110,
"think","think",110,
"year","year",110,
"keep","keep",110,
"big","big",110,
"second","second",108,
"cavs","cavs",107,
"know","know",106,
"barnes","barnes",106,
"playoff","playoff",106,
"hawks","hawks",106,
"wow","wow",105,
"games","games",105,
"start","start",105,
"ball","ball",104,
"gsw","gsw",104,
"run","run",103,
"first","first",103,
"via","via",102,
"really","really",102,
"another","another",101,
"half","half",100,
"#goldenstate","#goldenstate",98,
"better","better",97,
"points","points",95,
"2nd","2nd",95,
"us","us",93,
"live","live",93,
"point","point",92,
"say","say",91,
"getting","getting",91,
"new","new",90,
"livingston","livingston",89,
"bogut","bogut",87
